GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-receiver-producer,challenge.tech.usecase,ProcessOrderUseCase,0,20,0,0,0,5,0,2,0,2
order-receiver-producer,challenge.tech.controller,OrderReceiverController,0,15,0,0,0,3,0,2,0,2
order-receiver-producer,challenge.tech.gateway.producer,OrderReceiverProducer,0,30,0,0,0,8,0,2,0,2
order-receiver-producer,challenge.tech.domain,OrderReceiver,0,53,0,4,0,12,0,13,0,11
order-receiver-producer,challenge.tech.domain,OrderItem,0,26,0,0,0,5,0,6,0,6
order-receiver-producer,challenge.tech,OrderReceiverServiceApplication,5,3,0,0,2,1,1,1,1,1
